what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571047117883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571047122609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571047235988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571047253296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1571047464731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1571047471326
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571047514581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571047545795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571047549994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571047730987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571047731074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571047734217
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1571048026303
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1571048030575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048033744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048036640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048098513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048145905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048356210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048391815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048392696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048394244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048394414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048396820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048397052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048402621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048403718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048405453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048405549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048406886
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1571048408553
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1571048412624
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1571064716375
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1571064716377
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1571064716377
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1571064716377
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1571064716377
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1571064716377
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1571064716377
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1571064716377
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1571064716377
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1571064716377
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1571064716377
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1571064716377
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1571064716384
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1571064716385
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1571064716385
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1571064716385
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1571064716385
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1571064716385
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1571064716385
